unix_timestamp,value
1632463200,14.97
1632466800,18.755
1632470400,22.88
1632474000,24.515
1632477600,25.45
1632481200,25.85
1632484800,26.71
1632488400,27.84
1632492000,27.515
1632495600,25.9
1632499200,24.37
1632502800,20.83
1632506400,17.825
1632510000,15.595
1632513600,15.475
1632517200,15.78
1632520800,15.385
1632524400,14.58
1632528000,14.52
1632531600,14.73
1632535200,14.475
1632538800,12.905
1632542400,12.22
1632546000,13.42
1632549600,17.33
1632553200,21.79
1632556800,23.875
1632560400,24.765
1632564000,25.74
1632567600,26.1
1632571200,26.92
1632574800,28.1
1632578400,27.905
1632582000,27.185
1632585600,24.755
1632589200,22.02
1632592800,19.665
1632596400,18.24
1632600000,17.25
1632603600,17.565
1632607200,17.75
1632610800,17.9
1632614400,18.015
1632618000,17.885
1632621600,17.475
1632625200,16.135
1632628800,16.385
1632632400,16.92
1632636000,18.87
1632639600,21.38
1632643200,23.97
1632646800,25.75
1632650400,27.415
1632654000,27.955
1632657600,25.175
1632661200,19.975
1632664800,19.61
1632668400,19.705
1632672000,19.13
1632675600,17.6
1632679200,17.24
1632682800,16.55
1632686400,16.26
1632690000,16.25
1632693600,16.165
1632697200,15.88
1632700800,15.37
1632704400,14.7
1632708000,14.34
1632711600,13.93
1632715200,13.505
1632718800,13.945
1632722400,14.785
1632726000,16.095
1632729600,18.1
1632733200,20.35
1632736800,21.98
1632740400,22.78
1632744000,22.815
1632747600,22.075
1632751200,21.285
1632754800,21.055
1632758400,20.56
1632762000,20.005
1632765600,19.47
1632769200,19.115
1632772800,17.405
1632776400,16.81
1632780000,16.045
1632783600,16.45
1632787200,16.29
1632790800,15.89
1632794400,15.97
1632798000,16.565
1632801600,16.485
1632805200,16.52
1632808800,17.485
1632812400,20.17
1632816000,22.06
1632819600,23.71
1632823200,25.115
1632826800,24.92
1632834000,26.35
1632837600,26.95
1632841200,26.555
1632844800,25.025
1632848400,19.31
1632852000,17.58
1632855600,17.035
1632859200,16.795
1632862800,16.215
1632866400,15.635
1632870000,15.42
1632873600,15.275
1632877200,14.99
1632880800,14.755
1632884400,14.665
1632888000,14.84
1632891600,15.06
1632895200,15.52
1632898800,19.055
1632902400,24.01
1632906000,24.79
1632909600,25.875
1632913200,26.77
1632916800,27.115
1632920400,27.765
1632924000,27.62
1632927600,26.52
1632931200,23.355
1632934800,19.27
1632938400,17.275
1632942000,17.425
1632945600,18.21
1632949200,18.25
1632952800,17.605
1632956400,17.37
1632960000,17.195
1632963600,16.955
1632967200,17.03
1632970800,17.44
1632974400,17.08
1632978000,16.89
1632981600,17.075
1632985200,17.61
1632988800,18.815
1632992400,21.435
1632996000,21.225
1632999600,22.94
1633003200,22.795
1633006800,22.985
1633010400,22.855
1633014000,22.735
1633017600,21.405
1633021200,17.975
1633024800,15.71
1633028400,14.745
1633032000,13.985
1633035600,13.83
